Ortholog group	Gene name	Organism name	Ortholog gene name	Ortholog organism name	Relationship
460_454_10577	BdiBd21-3.1G0007800	BdistachyonBd21-3_v1.1	Sobic.005G088500	Sbicolor_v3.1.1	one-to-one
460_454_11438	BdiBd21-3.1G0008100	BdistachyonBd21-3_v1.1	Sobic.001G002600	Sbicolor_v3.1.1	one-to-one
460_454_7941	BdiBd21-3.1G0008400	BdistachyonBd21-3_v1.1	Sobic.001G002800	Sbicolor_v3.1.1	one-to-one
460_454_10816	BdiBd21-3.1G0008500	BdistachyonBd21-3_v1.1	Sobic.001G003000	Sbicolor_v3.1.1	one-to-one
460_454_16440	BdiBd21-3.1G0008600	BdistachyonBd21-3_v1.1	Sobic.006G016500	Sbicolor_v3.1.1	one-to-one
460_454_5138	BdiBd21-3.1G0008700	BdistachyonBd21-3_v1.1	Sobic.001G003200	Sbicolor_v3.1.1	one-to-one
460_454_10247	BdiBd21-3.1G0009600	BdistachyonBd21-3_v1.1	Sobic.001G003500	Sbicolor_v3.1.1	one-to-one
460_454_14579	BdiBd21-3.1G0011600	BdistachyonBd21-3_v1.1	Sobic.001G005900	Sbicolor_v3.1.1	one-to-one
460_454_5964	BdiBd21-3.1G0009900	BdistachyonBd21-3_v1.1	Sobic.001G004100	Sbicolor_v3.1.1	one-to-one
460_454_9831	BdiBd21-3.1G0010000	BdistachyonBd21-3_v1.1	Sobic.001G004200	Sbicolor_v3.1.1	one-to-one
460_454_351	BdiBd21-3.1G0010300	BdistachyonBd21-3_v1.1	Sobic.001G004400	Sbicolor_v3.1.1	one-to-one
460_454_3548	BdiBd21-3.1G0310100	BdistachyonBd21-3_v1.1	Sobic.002G350800	Sbicolor_v3.1.1	many-to-one
460_454_11288	BdiBd21-3.1G0010700	BdistachyonBd21-3_v1.1	Sobic.001G005000	Sbicolor_v3.1.1	one-to-one
460_454_10670	BdiBd21-3.1G0010800	BdistachyonBd21-3_v1.1	Sobic.001G005200	Sbicolor_v3.1.1	one-to-one
460_454_11308	BdiBd21-3.1G0011000	BdistachyonBd21-3_v1.1	Sobic.002G321200	Sbicolor_v3.1.1	one-to-one
460_454_4217	BdiBd21-3.1G0011300	BdistachyonBd21-3_v1.1	Sobic.001G005600	Sbicolor_v3.1.1	one-to-one
460_454_17462	BdiBd21-3.1G0011400	BdistachyonBd21-3_v1.1	Sobic.001G005700	Sbicolor_v3.1.1	one-to-one
460_454_2550	BdiBd21-3.1G0011500	BdistachyonBd21-3_v1.1	Sobic.001G005800	Sbicolor_v3.1.1	one-to-one
460_454_2579	BdiBd21-3.1G0011700	BdistachyonBd21-3_v1.1	Sobic.001G006000	Sbicolor_v3.1.1	one-to-one
460_454_13251	BdiBd21-3.1G0011900	BdistachyonBd21-3_v1.1	Sobic.001G006400	Sbicolor_v3.1.1	one-to-one
460_454_15400	BdiBd21-3.1G0012000	BdistachyonBd21-3_v1.1	Sobic.001G006600	Sbicolor_v3.1.1	one-to-one
460_454_9572	BdiBd21-3.1G0012100	BdistachyonBd21-3_v1.1	Sobic.001G007900	Sbicolor_v3.1.1	one-to-one
460_454_7688	BdiBd21-3.1G0012400	BdistachyonBd21-3_v1.1	Sobic.001G007600	Sbicolor_v3.1.1	one-to-one
460_454_12239	BdiBd21-3.1G0012500	BdistachyonBd21-3_v1.1	Sobic.001G007500	Sbicolor_v3.1.1	one-to-one
460_454_8244	BdiBd21-3.1G0012600	BdistachyonBd21-3_v1.1	Sobic.001G007400	Sbicolor_v3.1.1	one-to-one
460_454_5322	BdiBd21-3.1G0012800	BdistachyonBd21-3_v1.1	Sobic.001G007200	Sbicolor_v3.1.1	one-to-one
460_454_1647	BdiBd21-3.1G0012900	BdistachyonBd21-3_v1.1	Sobic.001G008500	Sbicolor_v3.1.1	many-to-one
460_454_5865	BdiBd21-3.1G0312800	BdistachyonBd21-3_v1.1	Sobic.002G348700	Sbicolor_v3.1.1	one-to-one
460_454_7792	BdiBd21-3.1G0013200	BdistachyonBd21-3_v1.1	Sobic.001G006700	Sbicolor_v3.1.1	one-to-one
460_454_5116	BdiBd21-3.1G0013800	BdistachyonBd21-3_v1.1	Sobic.001G008600	Sbicolor_v3.1.1	one-to-one
460_454_1647	BdiBd21-3.1G0013900	BdistachyonBd21-3_v1.1	Sobic.001G008500	Sbicolor_v3.1.1	many-to-one
460_454_10216	BdiBd21-3.1G0014000	BdistachyonBd21-3_v1.1	Sobic.001G008400	Sbicolor_v3.1.1	one-to-one
460_454_8077	BdiBd21-3.1G0014100	BdistachyonBd21-3_v1.1	Sobic.001G008300	Sbicolor_v3.1.1	one-to-one
460_454_11896	BdiBd21-3.1G0014200	BdistachyonBd21-3_v1.1	Sobic.001G008100	Sbicolor_v3.1.1	one-to-one
460_454_1251	BdiBd21-3.1G0014500	BdistachyonBd21-3_v1.1	Sobic.002G063700	Sbicolor_v3.1.1	one-to-one
460_454_15967	BdiBd21-3.1G0014700	BdistachyonBd21-3_v1.1	Sobic.001G009500	Sbicolor_v3.1.1	one-to-one
460_454_7606	BdiBd21-3.1G0014800	BdistachyonBd21-3_v1.1	Sobic.001G009400	Sbicolor_v3.1.1	one-to-one
460_454_10649	BdiBd21-3.1G0014900	BdistachyonBd21-3_v1.1	Sobic.001G009300	Sbicolor_v3.1.1	one-to-one
460_454_16142	BdiBd21-3.1G0015000	BdistachyonBd21-3_v1.1	Sobic.001G009200	Sbicolor_v3.1.1	one-to-one
460_454_15938	BdiBd21-3.1G0015200	BdistachyonBd21-3_v1.1	Sobic.001G008800	Sbicolor_v3.1.1	one-to-one
460_454_14685	BdiBd21-3.1G0015300	BdistachyonBd21-3_v1.1	Sobic.001G008700	Sbicolor_v3.1.1	one-to-one
460_454_6489	BdiBd21-3.1G0016200	BdistachyonBd21-3_v1.1	Sobic.008G007200	Sbicolor_v3.1.1	many-to-one
460_454_3153	BdiBd21-3.1G0017500	BdistachyonBd21-3_v1.1	Sobic.001G009600	Sbicolor_v3.1.1	one-to-one
460_454_15621	BdiBd21-3.1G0019300	BdistachyonBd21-3_v1.1	Sobic.001G010900	Sbicolor_v3.1.1	one-to-one
460_454_10379	BdiBd21-3.1G0018100	BdistachyonBd21-3_v1.1	Sobic.001G009900	Sbicolor_v3.1.1	one-to-one
460_454_5750	BdiBd21-3.1G0018300	BdistachyonBd21-3_v1.1	Sobic.001G010000	Sbicolor_v3.1.1	one-to-one
460_454_10615	BdiBd21-3.1G0018400	BdistachyonBd21-3_v1.1	Sobic.001G010100	Sbicolor_v3.1.1	one-to-one
460_454_5850	BdiBd21-3.1G0018500	BdistachyonBd21-3_v1.1	Sobic.001G010300	Sbicolor_v3.1.1	one-to-one
460_454_14631	BdiBd21-3.1G0018600	BdistachyonBd21-3_v1.1	Sobic.001G010400	Sbicolor_v3.1.1	one-to-one
460_454_6867	BdiBd21-3.1G0018700	BdistachyonBd21-3_v1.1	Sobic.010G014100	Sbicolor_v3.1.1	one-to-one
460_454_5371	BdiBd21-3.1G0019200	BdistachyonBd21-3_v1.1	Sobic.001G010700	Sbicolor_v3.1.1	many-to-many
460_454_5371	BdiBd21-3.1G0019200	BdistachyonBd21-3_v1.1	Sobic.004G353200	Sbicolor_v3.1.1	many-to-many
460_454_13162	BdiBd21-3.1G0018800	BdistachyonBd21-3_v1.1	Sobic.001G010500	Sbicolor_v3.1.1	one-to-one
460_454_10742	BdiBd21-3.1G0018900	BdistachyonBd21-3_v1.1	Sobic.001G010600	Sbicolor_v3.1.1	one-to-one
460_454_14422	BdiBd21-3.1G0020200	BdistachyonBd21-3_v1.1	Sobic.001G011300	Sbicolor_v3.1.1	one-to-one
460_454_13319	BdiBd21-3.1G0020300	BdistachyonBd21-3_v1.1	Sobic.001G011400	Sbicolor_v3.1.1	one-to-one
460_454_5232	BdiBd21-3.1G0019400	BdistachyonBd21-3_v1.1	Sobic.001G011000	Sbicolor_v3.1.1	one-to-one
460_454_17714	BdiBd21-3.1G0019600	BdistachyonBd21-3_v1.1	Sobic.001G011100	Sbicolor_v3.1.1	many-to-one
460_454_14378	BdiBd21-3.1G0020000	BdistachyonBd21-3_v1.1	Sobic.001G011200	Sbicolor_v3.1.1	one-to-one
460_454_12209	BdiBd21-3.1G0020900	BdistachyonBd21-3_v1.1	Sobic.001G016200	Sbicolor_v3.1.1	many-to-many
460_454_12209	BdiBd21-3.1G0020900	BdistachyonBd21-3_v1.1	Sobic.001G016201	Sbicolor_v3.1.1	many-to-many
460_454_12209	BdiBd21-3.1G0020900	BdistachyonBd21-3_v1.1	Sobic.001G013400	Sbicolor_v3.1.1	many-to-many
460_454_17625	BdiBd21-3.1G0021400	BdistachyonBd21-3_v1.1	Sobic.010G139200	Sbicolor_v3.1.1	one-to-one
460_454_13661	BdiBd21-3.1G0021800	BdistachyonBd21-3_v1.1	Sobic.001G013200	Sbicolor_v3.1.1	one-to-one
460_454_13045	BdiBd21-3.1G0022000	BdistachyonBd21-3_v1.1	Sobic.001G013000	Sbicolor_v3.1.1	one-to-one
460_454_1635	BdiBd21-3.1G0022100	BdistachyonBd21-3_v1.1	Sobic.001G012900	Sbicolor_v3.1.1	one-to-one
460_454_8658	BdiBd21-3.1G0022200	BdistachyonBd21-3_v1.1	Sobic.001G012800	Sbicolor_v3.1.1	one-to-one
460_454_10474	BdiBd21-3.1G0022300	BdistachyonBd21-3_v1.1	Sobic.001G012700	Sbicolor_v3.1.1	one-to-one
460_454_10353	BdiBd21-3.1G0022400	BdistachyonBd21-3_v1.1	Sobic.004G302900	Sbicolor_v3.1.1	many-to-many
460_454_10353	BdiBd21-3.1G0022400	BdistachyonBd21-3_v1.1	Sobic.004G249600	Sbicolor_v3.1.1	many-to-many
460_454_11551	BdiBd21-3.1G0022500	BdistachyonBd21-3_v1.1	Sobic.001G012100	Sbicolor_v3.1.1	one-to-one
460_454_13656	BdiBd21-3.1G0022600	BdistachyonBd21-3_v1.1	Sobic.001G011800	Sbicolor_v3.1.1	one-to-one
460_454_3878	BdiBd21-3.1G0022800	BdistachyonBd21-3_v1.1	Sobic.001G011700	Sbicolor_v3.1.1	one-to-one
460_454_5104	BdiBd21-3.1G0023300	BdistachyonBd21-3_v1.1	Sobic.001G013900	Sbicolor_v3.1.1	one-to-one
460_454_3831	BdiBd21-3.1G0023500	BdistachyonBd21-3_v1.1	Sobic.001G014100	Sbicolor_v3.1.1	one-to-one
460_454_6689	BdiBd21-3.1G0023700	BdistachyonBd21-3_v1.1	Sobic.001G014200	Sbicolor_v3.1.1	one-to-one
460_454_2117	BdiBd21-3.1G0023800	BdistachyonBd21-3_v1.1	Sobic.001G014900	Sbicolor_v3.1.1	one-to-one
460_454_16470	BdiBd21-3.1G0023900	BdistachyonBd21-3_v1.1	Sobic.001G015000	Sbicolor_v3.1.1	one-to-one
460_454_9549	BdiBd21-3.1G0024000	BdistachyonBd21-3_v1.1	Sobic.001G015100	Sbicolor_v3.1.1	one-to-one
460_454_9434	BdiBd21-3.1G0024400	BdistachyonBd21-3_v1.1	Sobic.001G015200	Sbicolor_v3.1.1	one-to-one
460_454_6832	BdiBd21-3.1G0024600	BdistachyonBd21-3_v1.1	Sobic.001G015500	Sbicolor_v3.1.1	one-to-one
460_454_17731	BdiBd21-3.1G0024700	BdistachyonBd21-3_v1.1	Sobic.001G015600	Sbicolor_v3.1.1	one-to-one
460_454_9550	BdiBd21-3.1G0024800	BdistachyonBd21-3_v1.1	Sobic.001G015700	Sbicolor_v3.1.1	one-to-one
460_454_4240	BdiBd21-3.1G0024900	BdistachyonBd21-3_v1.1	Sobic.001G015800	Sbicolor_v3.1.1	one-to-one
460_454_7503	BdiBd21-3.1G0025100	BdistachyonBd21-3_v1.1	Sobic.002G119400	Sbicolor_v3.1.1	one-to-one
460_454_3904	BdiBd21-3.1G0025500	BdistachyonBd21-3_v1.1	Sobic.001G016100	Sbicolor_v3.1.1	many-to-many
460_454_3904	BdiBd21-3.1G0025500	BdistachyonBd21-3_v1.1	Sobic.001G016300	Sbicolor_v3.1.1	many-to-many
460_454_5210	BdiBd21-3.1G0025900	BdistachyonBd21-3_v1.1	Sobic.001G016000	Sbicolor_v3.1.1	one-to-one
460_454_1604	BdiBd21-3.1G0026100	BdistachyonBd21-3_v1.1	Sobic.001G016600	Sbicolor_v3.1.1	one-to-one
460_454_1191	BdiBd21-3.1G0029300	BdistachyonBd21-3_v1.1	Sobic.001G334700	Sbicolor_v3.1.1	one-to-one
460_454_1051	BdiBd21-3.1G0026200	BdistachyonBd21-3_v1.1	Sobic.001G016700	Sbicolor_v3.1.1	one-to-one
460_454_7091	BdiBd21-3.1G0026300	BdistachyonBd21-3_v1.1	Sobic.001G016800	Sbicolor_v3.1.1	one-to-one
460_454_5563	BdiBd21-3.1G0312900	BdistachyonBd21-3_v1.1	Sobic.002G348600	Sbicolor_v3.1.1	one-to-one
460_454_6825	BdiBd21-3.1G0026400	BdistachyonBd21-3_v1.1	Sobic.001G016900	Sbicolor_v3.1.1	one-to-one
460_454_17574	BdiBd21-3.1G0026900	BdistachyonBd21-3_v1.1	Sobic.001G053200	Sbicolor_v3.1.1	one-to-many
460_454_17574	BdiBd21-3.1G0026900	BdistachyonBd21-3_v1.1	Sobic.001G053100	Sbicolor_v3.1.1	one-to-many
460_454_17574	BdiBd21-3.1G0026900	BdistachyonBd21-3_v1.1	Sobic.001G053500	Sbicolor_v3.1.1	one-to-many
460_454_10981	BdiBd21-3.1G0027200	BdistachyonBd21-3_v1.1	Sobic.001G017300	Sbicolor_v3.1.1	one-to-one
460_454_9654	BdiBd21-3.1G0027300	BdistachyonBd21-3_v1.1	Sobic.001G017100	Sbicolor_v3.1.1	one-to-one
460_454_3548	BdiBd21-3.1G0310300	BdistachyonBd21-3_v1.1	Sobic.002G350800	Sbicolor_v3.1.1	many-to-one
460_454_12877	BdiBd21-3.1G0027400	BdistachyonBd21-3_v1.1	Sobic.002G103500	Sbicolor_v3.1.1	one-to-one
460_454_10438	BdiBd21-3.1G0027600	BdistachyonBd21-3_v1.1	Sobic.001G017500	Sbicolor_v3.1.1	one-to-one
460_454_9343	BdiBd21-3.1G0027700	BdistachyonBd21-3_v1.1	Sobic.001G017800	Sbicolor_v3.1.1	one-to-one
460_454_2929	BdiBd21-3.1G0028200	BdistachyonBd21-3_v1.1	Sobic.001G018000	Sbicolor_v3.1.1	one-to-one
460_454_5357	BdiBd21-3.1G0028300	BdistachyonBd21-3_v1.1	Sobic.001G018100	Sbicolor_v3.1.1	one-to-one
460_454_10305	BdiBd21-3.1G0028500	BdistachyonBd21-3_v1.1	Sobic.001G018200	Sbicolor_v3.1.1	one-to-one
460_454_16037	BdiBd21-3.1G0029400	BdistachyonBd21-3_v1.1	Sobic.001G018500	Sbicolor_v3.1.1	one-to-one
460_454_2801	BdiBd21-3.1G0029500	BdistachyonBd21-3_v1.1	Sobic.007G179600	Sbicolor_v3.1.1	one-to-one
460_454_6673	BdiBd21-3.1G0029800	BdistachyonBd21-3_v1.1	Sobic.001G019200	Sbicolor_v3.1.1	one-to-one
460_454_2310	BdiBd21-3.1G0029900	BdistachyonBd21-3_v1.1	Sobic.001G019300	Sbicolor_v3.1.1	one-to-one
460_454_1751	BdiBd21-3.1G0030300	BdistachyonBd21-3_v1.1	Sobic.001G019400	Sbicolor_v3.1.1	one-to-one
460_454_11414	BdiBd21-3.1G0030900	BdistachyonBd21-3_v1.1	Sobic.008G001100	Sbicolor_v3.1.1	one-to-many
460_454_11414	BdiBd21-3.1G0030900	BdistachyonBd21-3_v1.1	Sobic.005G000800	Sbicolor_v3.1.1	one-to-many
460_454_15923	BdiBd21-3.1G0031000	BdistachyonBd21-3_v1.1	Sobic.007G077466	Sbicolor_v3.1.1	many-to-one
460_454_8580	BdiBd21-3.1G0031200	BdistachyonBd21-3_v1.1	Sobic.007G077400	Sbicolor_v3.1.1	many-to-one
460_454_5847	BdiBd21-3.1G0031400	BdistachyonBd21-3_v1.1	Sobic.001G019700	Sbicolor_v3.1.1	one-to-one
460_454_4752	BdiBd21-3.1G0031500	BdistachyonBd21-3_v1.1	Sobic.001G019800	Sbicolor_v3.1.1	one-to-one
460_454_13399	BdiBd21-3.1G0031600	BdistachyonBd21-3_v1.1	Sobic.001G019900	Sbicolor_v3.1.1	one-to-one
460_454_14786	BdiBd21-3.1G0031700	BdistachyonBd21-3_v1.1	Sobic.001G020100	Sbicolor_v3.1.1	one-to-one
460_454_1357	BdiBd21-3.1G0032100	BdistachyonBd21-3_v1.1	Sobic.001G020500	Sbicolor_v3.1.1	one-to-one
460_454_2493	BdiBd21-3.1G0032200	BdistachyonBd21-3_v1.1	Sobic.001G020600	Sbicolor_v3.1.1	one-to-one
460_454_13730	BdiBd21-3.1G0032300	BdistachyonBd21-3_v1.1	Sobic.001G020700	Sbicolor_v3.1.1	one-to-one
460_454_3239	BdiBd21-3.1G0033200	BdistachyonBd21-3_v1.1	Sobic.001G021000	Sbicolor_v3.1.1	one-to-one
460_454_14950	BdiBd21-3.1G0033400	BdistachyonBd21-3_v1.1	Sobic.006G072601	Sbicolor_v3.1.1	one-to-one
460_454_293	BdiBd21-3.1G0033500	BdistachyonBd21-3_v1.1	Sobic.002G118700	Sbicolor_v3.1.1	one-to-many
460_454_293	BdiBd21-3.1G0033500	BdistachyonBd21-3_v1.1	Sobic.001G021500	Sbicolor_v3.1.1	one-to-many
460_454_12165	BdiBd21-3.1G0033600	BdistachyonBd21-3_v1.1	Sobic.001G021800	Sbicolor_v3.1.1	one-to-one
460_454_2644	BdiBd21-3.1G0033800	BdistachyonBd21-3_v1.1	Sobic.001G332700	Sbicolor_v3.1.1	one-to-one
460_454_13179	BdiBd21-3.1G0034200	BdistachyonBd21-3_v1.1	Sobic.001G022600	Sbicolor_v3.1.1	one-to-one
460_454_5891	BdiBd21-3.1G0034300	BdistachyonBd21-3_v1.1	Sobic.001G022700	Sbicolor_v3.1.1	one-to-one
460_454_6038	BdiBd21-3.1G0034400	BdistachyonBd21-3_v1.1	Sobic.005G047100	Sbicolor_v3.1.1	one-to-one
460_454_14826	BdiBd21-3.1G0034500	BdistachyonBd21-3_v1.1	Sobic.001G022900	Sbicolor_v3.1.1	one-to-one
460_454_2103	BdiBd21-3.1G0034600	BdistachyonBd21-3_v1.1	Sobic.001G023100	Sbicolor_v3.1.1	one-to-one
460_454_4323	BdiBd21-3.1G0034700	BdistachyonBd21-3_v1.1	Sobic.001G023000	Sbicolor_v3.1.1	one-to-one
460_454_298	BdiBd21-3.1G0034900	BdistachyonBd21-3_v1.1	Sobic.009G217200	Sbicolor_v3.1.1	one-to-one
460_454_8388	BdiBd21-3.1G0035000	BdistachyonBd21-3_v1.1	Sobic.001G023200	Sbicolor_v3.1.1	one-to-one
460_454_1702	BdiBd21-3.1G0035500	BdistachyonBd21-3_v1.1	Sobic.001G023400	Sbicolor_v3.1.1	one-to-one
460_454_11550	BdiBd21-3.1G0035700	BdistachyonBd21-3_v1.1	Sobic.001G027300	Sbicolor_v3.1.1	one-to-one
460_454_8009	BdiBd21-3.1G0035800	BdistachyonBd21-3_v1.1	Sobic.001G027100	Sbicolor_v3.1.1	one-to-one
460_454_13309	BdiBd21-3.1G0035900	BdistachyonBd21-3_v1.1	Sobic.002G090200	Sbicolor_v3.1.1	one-to-many
460_454_13309	BdiBd21-3.1G0035900	BdistachyonBd21-3_v1.1	Sobic.001G026900	Sbicolor_v3.1.1	one-to-many
460_454_4941	BdiBd21-3.1G0036000	BdistachyonBd21-3_v1.1	Sobic.001G026800	Sbicolor_v3.1.1	one-to-one
460_454_7739	BdiBd21-3.1G0036100	BdistachyonBd21-3_v1.1	Sobic.002G238000	Sbicolor_v3.1.1	many-to-one
460_454_7739	BdiBd21-3.1G0036300	BdistachyonBd21-3_v1.1	Sobic.002G238000	Sbicolor_v3.1.1	many-to-one
460_454_1796	BdiBd21-3.1G0036700	BdistachyonBd21-3_v1.1	Sobic.001G280100	Sbicolor_v3.1.1	one-to-one
460_454_7065	BdiBd21-3.1G0036800	BdistachyonBd21-3_v1.1	Sobic.001G026400	Sbicolor_v3.1.1	one-to-one
460_454_2838	BdiBd21-3.1G0037000	BdistachyonBd21-3_v1.1	Sobic.001G026200	Sbicolor_v3.1.1	one-to-one
460_454_7305	BdiBd21-3.1G0037100	BdistachyonBd21-3_v1.1	Sobic.001G026100	Sbicolor_v3.1.1	one-to-one
460_454_4618	BdiBd21-3.1G0037200	BdistachyonBd21-3_v1.1	Sobic.001G026000	Sbicolor_v3.1.1	one-to-one
460_454_5948	BdiBd21-3.1G0041500	BdistachyonBd21-3_v1.1	Sobic.001G028400	Sbicolor_v3.1.1	one-to-one
460_454_7990	BdiBd21-3.1G0038400	BdistachyonBd21-3_v1.1	Sobic.001G025700	Sbicolor_v3.1.1	one-to-one
460_454_16214	BdiBd21-3.1G0038500	BdistachyonBd21-3_v1.1	Sobic.001G025600	Sbicolor_v3.1.1	one-to-one
460_454_5939	BdiBd21-3.1G0038600	BdistachyonBd21-3_v1.1	Sobic.002G090500	Sbicolor_v3.1.1	one-to-many
460_454_5939	BdiBd21-3.1G0038600	BdistachyonBd21-3_v1.1	Sobic.001G025500	Sbicolor_v3.1.1	one-to-many
460_454_12771	BdiBd21-3.1G0038700	BdistachyonBd21-3_v1.1	Sobic.003G037900	Sbicolor_v3.1.1	one-to-one
460_454_2715	BdiBd21-3.1G0039100	BdistachyonBd21-3_v1.1	Sobic.001G023500	Sbicolor_v3.1.1	many-to-one
460_454_8379	BdiBd21-3.1G0039200	BdistachyonBd21-3_v1.1	Sobic.009G012300	Sbicolor_v3.1.1	one-to-many
460_454_8379	BdiBd21-3.1G0039200	BdistachyonBd21-3_v1.1	Sobic.009G072000	Sbicolor_v3.1.1	one-to-many
460_454_8682	BdiBd21-3.1G0039400	BdistachyonBd21-3_v1.1	Sobic.001G023800	Sbicolor_v3.1.1	one-to-one
460_454_4462	BdiBd21-3.1G0039600	BdistachyonBd21-3_v1.1	Sobic.001G024000	Sbicolor_v3.1.1	one-to-one
460_454_6006	BdiBd21-3.1G0039800	BdistachyonBd21-3_v1.1	Sobic.001G024200	Sbicolor_v3.1.1	one-to-one
460_454_8844	BdiBd21-3.1G0040800	BdistachyonBd21-3_v1.1	Sobic.001G025300	Sbicolor_v3.1.1	one-to-one
460_454_11912	BdiBd21-3.1G0040900	BdistachyonBd21-3_v1.1	Sobic.001G132000	Sbicolor_v3.1.1	one-to-many
460_454_11912	BdiBd21-3.1G0040900	BdistachyonBd21-3_v1.1	Sobic.001G025400	Sbicolor_v3.1.1	one-to-many
460_454_12492	BdiBd21-3.1G0041300	BdistachyonBd21-3_v1.1	Sobic.001G028700	Sbicolor_v3.1.1	many-to-one
460_454_10582	BdiBd21-3.1G0041400	BdistachyonBd21-3_v1.1	Sobic.001G028500	Sbicolor_v3.1.1	one-to-one
460_454_1881	BdiBd21-3.1G0041600	BdistachyonBd21-3_v1.1	Sobic.001G028100	Sbicolor_v3.1.1	one-to-one
460_454_2097	BdiBd21-3.1G0042000	BdistachyonBd21-3_v1.1	Sobic.001G027900	Sbicolor_v3.1.1	one-to-one
460_454_7861	BdiBd21-3.1G0042100	BdistachyonBd21-3_v1.1	Sobic.001G027800	Sbicolor_v3.1.1	one-to-one
460_454_14859	BdiBd21-3.1G0042200	BdistachyonBd21-3_v1.1	Sobic.001G027600	Sbicolor_v3.1.1	one-to-one
460_454_3096	BdiBd21-3.1G0042700	BdistachyonBd21-3_v1.1	Sobic.001G029200	Sbicolor_v3.1.1	one-to-one
460_454_3381	BdiBd21-3.1G0042800	BdistachyonBd21-3_v1.1	Sobic.001G029300	Sbicolor_v3.1.1	one-to-one
460_454_11995	BdiBd21-3.1G0042900	BdistachyonBd21-3_v1.1	Sobic.001G029400	Sbicolor_v3.1.1	one-to-one
460_454_10460	BdiBd21-3.1G0043100	BdistachyonBd21-3_v1.1	Sobic.002G377400	Sbicolor_v3.1.1	many-to-one
460_454_12492	BdiBd21-3.1G0043300	BdistachyonBd21-3_v1.1	Sobic.001G028700	Sbicolor_v3.1.1	many-to-one
460_454_15060	BdiBd21-3.1G0043700	BdistachyonBd21-3_v1.1	Sobic.001G029700	Sbicolor_v3.1.1	one-to-one
460_454_18194	BdiBd21-3.1G0043800	BdistachyonBd21-3_v1.1	Sobic.001G029600	Sbicolor_v3.1.1	one-to-one
460_454_10460	BdiBd21-3.1G0044100	BdistachyonBd21-3_v1.1	Sobic.002G377400	Sbicolor_v3.1.1	many-to-one
460_454_1175	BdiBd21-3.1G0044300	BdistachyonBd21-3_v1.1	Sobic.001G030000	Sbicolor_v3.1.1	one-to-one
460_454_10281	BdiBd21-3.1G0044500	BdistachyonBd21-3_v1.1	Sobic.001G030200	Sbicolor_v3.1.1	one-to-one
